Ratings,Reviews
1,"Very very disappointing experience at Citrus - The Leela Palace, BangaloreI went to Citrus today for dinner buffet on account of my birthday. Considering the brand name - The Leela Palace, I was looking for a great overall experience. Unfortunately, i had a really bitter experience. Starting with food, the starters, main course menu was very limited, it was around 9pm and most of the items were getting over and they didnÇÑt have the courtesy to refill it. The desserts were awful as well like the starter and main course. In terms of taste, it was horrible, the quality of food could be easily compared with any local restaurant. It was just bad.In terms of ambiance, well there was no ambiance, it was a complete chaos looked like a fish market where people were speaking loudly, yelling at each other, taking pictures at every part of the restaurant. Infact, people surrounded our table from all sides as they were taking pictures and didnÇÑt realise that there are other people who just wants to have their food peacefully.In terms of service, the staffs were not at all friendly. They were bothering us every ten minutes with this and that. At 10 pm, they were literally forcing us to complete our dinner as the restaurant closing time was 10:30. After repeatedly raising our concerns to the staffs, they didnÇÑt take any action and they were extremely casual about the issues we have raised. The floor manager didnÇÑt know how to communicate and we was doing unnecessary things like asking if he can offer us with some extra desserts or food items, like seriously!FYI - Table No 25, visited on 13th SepÇÑ23 at 9pm"
5,Food was very good !! Ambiance at its best ! Very good hospitality! Will definitely visit again
5,
4,
3,
3,My review is based on the alacarte. I loved the starter I tried but was a bit disappointed with the main course. But the staff was extremely courteous and ambience was really good.
5,excellent food & brilliant service by Rajat.
5,one of the best ambiences in Bangalore
3,too crowded
2,
1,"Extremely rude staffs and bad vibe. We went there for outdoor seating and due to rain, there was no outdoor seating available, we asked the staff if we can checkout other restaurants at Leela , the staff mocks us and laughs saying \"
3,Food was average !! Very expensive for the portion size Service was poor Ç food was cold when served Chicken curry was good .. portion could be better Prawns served were frozen.. only 4 pcs Overall very average food Ç
5,"Great ambience , the spread was extensive . Loved the chocolate mousse"
5,It's not 4000 for two but 4000 for one. We went last Sunday for a brunch buffet. It is wrong information
3,did not feel that good
1,I didn't get pizza
5,This place is really amazing.Dulal was taking very good care of us.
1,Taste
5,"The menu at Citrus features a wide variety of dishes from around the world, with a focus on Mediterranean and Asian cuisine. The restaurant uses only the highest quality ingredients, many of which are sourced locally, and the dishes are expertly prepared by the talented chefs.Some of the standout dishes at Citrus include the sushi platter, which features a variety of fresh and flavorful sushi rolls, and the pan-seared salmon, which is cooked to perfection and served with a delicious miso glaze. The desserts are also a highlight, with options like the decadent chocolate mousse and the refreshing citrus sorbet.In addition to the excellent food, Citrus also offers an extensive wine list, with a variety of international wines to choose from. The restaurant's luxurious atmosphere and impeccable service only add to the overall dining experience, making it a popular choice for special occasions and romantic dinners.Overall, if you're looking for a luxurious dining experience with delicious food and impeccable service, Citrus is definitely worth a visit. The restaurant's focus on high-quality ingredients, expertly prepared dishes, and exceptional service make it one of the best dining options in Bangalore."
5,thank you. yummy
5,"Visited on a Sunday for Brunch. The place is extremely well maintained. Entire premise was squeaky clean. Their buffet spread is one of the best in Bangalore, they have many options for both vegetarians and non-vegetarians and each item tasted great. Specifically the dessert collection was the best I have ever seen compared to other Five star places. The entire experience was superb. Definitely going back there again."
1,The cakes are delicious but they forget to make them when you place an order. This is 3rd time in a row that the cake is not ready despite ordering more than 24 hours in advance. Wonder where the glitch and gap isÇ..Maybe they donÇÑt careÇ.
3,"It was a lunch buffet and somehow I was not satisfied with the variety as compared to buffet price. Taste-wise everything was decent, I must say dessert section was amazing but the main attractions was the ambience. I was mesmerised by the architectural beauty of Leela Place. If you want to spend your money on aesthetics with food then this is a good place to go!"
3,Went for lunch buffet but not satisfied with the taste and variety. Expected more variety and taste food. Not worth for money.
1,"Had buffet at LeelaÇÑs, it was a horrible experience. Not expected such kind of quality from such a reputed place. The food was missing all the flavours. Just not worth. "
1,"It was honestly the worst Indian Food I have ever tasted. Even the paneer tikka was flavourless (it only smelled of sarson ka teel) and was very hard and chewy, the pasta also had no flavour only a thin tasteless white sauce when complained they just added cream and made it thick. Overall had a vey bad experience and it ruined a special occasion."
3,"Went to celebrate my husbandÇÑs birthday by having lunch at leelas, Pretty shocked to have found a cockroach in my pasta, they charge you a lot and for that price your are suppose to maintain a certain level of cleanliness, be mindful & maintain a level of standard cause your the Ç LEELA PALACEÇÑ However the staff were really sorry waived off the entire bill."
5,"tasty hakka noodles, portion was good."
1,Bery bad experience I had with this place. Food was below average and staff doesn't care about it if you wanna talk about it with them. Really disappointed even manager was not there and no one attended us.
5,Excellent preparation. Very good packing.Best biryani I have ordered in a long time.
1,food not tasty
1,"Such a overrated place. Bland ,tasteless and completely cold food. Even dessert seems stale.Went there to celebrate our special day but turn out to b very disappointing. Even a regular restaurant provides hot food. Plz don't waste ur money at this so called premium place. Rather go to any other non premium place in Bangalore they give u best service with awesome food."
5,"Excellent packaging and hygiene as always. Wish the Citrus zomato menu was larger, would love to see more items on there !"
3,Visited Citrus for Sunday night buffet dinner. Spread was comparatively less. Food was of decent taste and quality. The AC was faulty and I was sweating throughout the dinner. Expected a much better buffet.
5,great experience and great value for money considering its from Leela Palace. the quantity and quality of the items were very good
5,Wonderful restaurant and lots of options. Visited there with family for buffet dinner. They have too many options and great staff. Best buffet i have had in Bengaluru.
1,"Horrible Experience. Too crowded, I went with my family, they gave us outdoor seating, it wasnÇÑt our choice, but we were told theyÇÑre overbooked. It rained and we got drenched, no one cared, 4 year old niece was there, it was extremely inconvenient. Not what we expected!!! Poor service, so many staff they just stand still and does nothing  we stood there helplessly for sometime and asked for help, they said theyÇÑre trying to arrange another table, but that didnÇÑt happen, after waiting for 5 to 10, we went back to the same outdoor seating., to top it all, we booked for ÇìlunchÇù but we were charged excessively for ÇìbrunchÇù, something is very off with the billing as it was billed to some room, it was supposed to be around 7 k, i ended up paying 11k + , I asked staff to explain the bill and rate for buffet per head, he wasnÇÑt sure, he gave some random vague numbers. I paid and left that place, wonÇÑt recommend anyone, not worth it! Ambience were good though."
5,"We were helped by Mr. Deepanshu and Mr. Chhatrasal. They were friendly and helpful with their inputs. The place is always clean and well maintained - never had an issue on multiple visits. We usually prefer the outdoor seating if itÇÑs a pleasant evening. ItÇÑs surely better than sitting next to the buffet spread. We had the Spring Roll, Palak Bhutta Seekh, Bombay Sandwich and the Club Sanwich to start off with. Excellent preparation as one would expect. Their spinach and wild mushroom lasagne and cottage cheese kathi roll are yum! DonÇÑt miss their panna cotta and cheesecakes. The buffet options are extensive as well. WeÇÑve had it a couple of times but prefer the alacarte"
5,delicious
1,"Went there to celebrate our fathers birthday, food was a big disappointment. havenÇÑt seen such Limited food options anywhere, food was super cold ,there were flies on the desserts, useless staff inside citrus."
2,Very poor service. Utter mismanagement by staff. Plates were not changed even after asking. Absolutely very less options in starters. We were served one plate cold starters told to us as platter with just 3 options . Desert spread was good though.
1,The food taste is below average...the food in the buffet is stone cold...the spread is average... utterly disappointed...came here for a special occasion...but left dissatisfied....out of all the premium hotels in bangalore...this served the most bland and cold food..°°°§§§
2,"You're paying for being in a palace, not for food. Extremely underwhelming experience. Service was also just as bad. We went there for dinner buffet. Very few vegetarian options. Most of the food was cold, some grilled veggies even smelled funky maybe because they have been sitting out for a long time."
5,"Very well prepared, packed and delivered. Glad that the chef called to clarify about my special request to avoid using refined vegetable oil. Excellent packaging. delivered person handled the delivery well. \"
3,Flies over desserts. Buffet was good but hygiene maintained is low. Flies all over desserts. Liked the starters
1,"Atrocious service at the brunch. We had to ask for the cocktail menu several times, but didn't receive it. We walked out. Never going back again."
1,food is cold because of delay in delivery
3,"With a Brand like The Leela, the least one expects is that the food arrive warm . The packaging as always is very good, clean and tamper proof . Thank you."
1,Very bad service no start level ethics always delay in preparation presentation also is too bad ..I was so so embarrassed in from of my guest Ç
5,"Had breakfast buffet at citrus on sunday. I must say the spread was just awesome, lot of varities with 30+ varieties. There were lot of options for south indian, north indian, and english breakfast. Live counters were also present for dosa, uttapam, chole bhature, alloo pure, and egg fusions..Overall recommended place to spent morning with your family and friends"
1,IÇÑve always patronised Citrus for its Andhra Chilli chicken with steamed rice. But last two experiences were horrible. Once the chillies were sooooo much one couldnÇÑt eat and second time delivery was delayed by over one hour. Not expected out of such a big chain like Leela..
2,"low to average buffet for a 5 star buffet. Indian and mediterranean counters good but continental, cheese selections and desserts were poor. Bad food combined with bad service, makes Citrus an avoidable place, esp at this price point."
3,"Went there around mid night to celebrate my little princess birthday. It was a quick plan - idea was to have some coffee / ice cream and then cut a cake so that she can be happy. Informed the staff of the plan in advance. It was only 3 of us in the restaurant and some 5-6 staffsÇ but seems they were more busy on the closure than attaining to the customer. DidnÇÑt get the ÇìLeelaÇù kind of service experience, it felt like we just disturbed there peace. A little bit of more courteous approach from the staffs could have made our quick 45 mins time more joyful."
2,the good was horrible by the time it reached the cake was all smushed up it didn't even look like cake.
5,"Delicious, thanks"
1,Spillage issue
2,Not expected this from Leela
5,Had a lunch buffet there. Food was refined and amazing. There were several different varieties. Ambience was amazing. The Italian food could be better.
1,
5,Had dinner with family at Citrus and loved the whole experience of a 7 star...great ambience and excellent hospitality...huge buffet spread with awesome quality and tasty food....loved the exotic food options and the best part was the desserts....great place to just hang out and enjoy the peace!...Highly recommend
5,"The food, ambience and the service was great! Would highly recommend to anyone who is in Bangalore. A big shoutout to Pramod! ù for making our experience so much better."
1,Not at all good take 17770 for5 people Biriyani is very very bad quality in reception not even have a manner to talk .... feeling very very bad
3,"It's not clear as what is available in the buffet menu. Not arranged or organized in a proper way. The choice of the desserts was way too less. Citrus is more like a centralised kitchen for their other orders. Ambience is a big let down in the citrus. Despite of booking through dine out ,there is no communication to the restaurant. Fortunately, they accommodated us. Had been here for my birthday ö. But I can say that whatever we had seemed to be tasty. But it's confusing to run across the difference counters/places. They can put up a buffet menu in the display to avoid confusion. We didn't even notice that there is also icecream counter until we were leaving."
4,"I have been wanting to visit Citrus for some time now considering it is not far from where I live. After ages, decided to finally visit it and was disappointed. Located on old airport road, The Leela has always fascinated me with its perfect mixture of old and new world charm and style. We chose to be seated outdoors as somehow, indoor dining is not for me unless there is no other option. I had the carbonara spaghetti that did full justice to the dish. It was not just tossed around in cheap sauce as it tends to happen in most of the places serving the dish but managed to blend the ingredients to the T. The bits of bacon were juicy and succulent and the dish is enough for one.For dessert, it was the Guanaja Gianduja chocolate fudge cake that was heavenly. Add beer and wine to the mix and it was a lovely evening.Service could have been better but considering it was a busy evening, I choose to ignore this lapse. Overall a wonderful experience."
1,rice was not cooked
5,the rice quantity would be better. otherwise the perfect dish.
5,"During our stay at the Leela palace, we went there for our meals. The spread was extensive and whatever I was able to taste was scrumptious. I really loved the kebabs. It was juicy and spicy, the way I like it. There main course and dessert was also good. The biryani could have been better though. The ambience was okayish may be because of the rush of the buffet. They have both indoor and outdoor seating. Given an option, the outdoor seating is a huge upgrade to the indoor one."
5,"So Happy took the decision to go to Citrus to celebrate a friends birthday on a weekday. Completely satisfied by the quality and quantity was excellent. Ranging from fresh breads to wide range of continental dishes to Asian and Indian dishes. A wide range of Middle eastern dips and breads and many kinds of veg and non veg salad. Not to mention the sweets , simply wow. It is super value for money."
5,the perfect thai meal.
1,we ordered Thai green curry.we found this plastic paper in the curry
1,Really irresponsible you didnÇÑt send us the tomato sauce with sandwich how can we eat sandwiches without sauce Ç completely irresponsible
3,liked it as it was not spicy. kevda essence is added. most of the pieces were boneless. Portion is adequate for one person.
1,Looks like while preparing dal the chef burnt the dal. The entire dal tasted burnt and really bad. Didnt expect this from Dal Jamavar from Leela
2,"I went today in Citrus@Leela Palace for celebrating my wife's birthday with fine lunch but unfortunately didn't got such experience. Hospitality was not upto the mark, sometimes felt we are invisible, not even like a normal restaurant. May be we looked normal people :). Place looked dirty, even the napkins are with stain. No Covid protocol maintained, no body asked or bother to check temp or sanitize your hand. I didn't find that good.Only the server was good but seems pretty occupied,but was doing his best. Food was good, that's was what we liked, thank god. But yes, overall experience was really disappointing. 2 stars only for the Food."
1,Terrible.. rice was over cooked. Ordered biryani not kichidi!
1,"I ordered a delivery of Paneer Tikka + Chicken Tikka Masala & Naan combo and it was The paneer was just 4 pieces, thatÇÑs just unacceptable at these prices. The chicken tikka masala was very oily, like a cheap dhaba.Request Leela management to not do this, IÇÑm a regular at your property and this is so disappointing. :)"
1,Added mutton pieces to the chicken biryani and denied the same when a query was raised. Unacceptable for a 7 star hotel!
4,"Nice ambience, polite and courteous staffs, tasty but expensive food, for obvious reasons. Overall, a nice place to hangout with family and friends. Must Visit."
1,The paneer had gone sour. Both in the tikka and saag paneer. The tandoori roti was not delivered. The package had leaked. See photo.
1,"I can't believe Leela's served stale food, we started with salads, veggies were not fresh, the pumpkin in lamb pumpkin salad was stale. There were no meat options, most of the food were frozen food like pita bread. There was no good options in Chinese or continental. The only saving grace was the deserts. They were okay."
3,It's our tradition to dine on 1st Jan. We have been doing this for the past 15 years. We were 7 of us and despite calling at 2:30 we were shocked to find out our name was missing in the reservation list. Thankfully got a table and were packed into a room with a party group of 20+ people.4 people in our family hadn't dined at citrus and I promised them a wonderful evening. Food was quite average. In these times the guests could serve themselves at the buffet. All other restaurants do not allow guests to serve at the buffet.The pasta and pizza were good. That's the only good part of our evening.Desserts were really disappointing. The pastries were very dry. Let's not talk about the Indian desserts.We were hoping to make a good begi.nning to 2021 after all that we went through in 2020. Sadly didn't happen
1,Can't tell you how discusting I am feeling right now sitting over here having pathetic food and so so bad service .. my new year date turned out to be the worst day of my life.. most hyped and overrated place I have ever been in my life.. inside Leela this kind of service and food can't imagine ..
4,Good food. Good location . Understaff . They tend to forget whatever you ask them to get to your table. Need multiple reminders.
3,"Just had a buffet dinner today at Citrus. The overall experience was more like a 2-3 star restaurant with at par sophistication. The staff were helpful , polite.....super groomed. Music / decorations were definitely super. But.....the main purpose of visit was to have a great food. Trust me guys when I say this....you need to improve yourself to be a 5star restaurant as the chief ingredient required (which was lacking) is mouth watering food. Few observations from today's experience. 1. Insufficient quantity. Cooks take loooong time to re-cook / replenish the dishes. I lost appetite with the waiting time for food of a buffet menu. Sounds kinda funny. 2. Two significant dishes out of a few were not available the entire time but the names were in display along with assurance from the saff for supply of the same. 3. The variety of food was ...1,2,3,4....oh shit that's all?? Ok. I was initially was getting angry with the whole situation. Later I was laughing about it 'coz I realised I shouldn't have made such expectations from Leela Palace's own resturant. "
5,I've visited Citrus a few times during my recent extended stay in Bangalore. The best thing I found about Citrus is the staff. I was usually there later in the day and Pramod took care of me. He always went the extra mile to make sure the service is enjoyable pleasant and quick. He's the warmest and most welcoming restaurant manager that you'll ever find.
1,Worst service. I had clearly mentioned that it's an Anniversary dinner and they promised a good table setting but no service was provided as promised. No one even came to even attend us. Simply money and time wasted.
2,"Poor service . Didn't expect this from leela at all.. I ha e been to this place almost more than 10 times.. but this i must say it was worst experience. Came here to celebrate my husband's birthday. First of all we didn't opt for valet parking ofcourse due to current situation, while returning back, one car was there on the driveway parked by valet driver, driver name praveen who was arrogant even after waiting for 20 mins in the parking he didn't accept his mistake. Neither the parking service guy was for assistance his name was Salman who was least bothered. Than we came towards exit no one was there to open the gate.. after hawnking 10 mins one guy came who said sir we are short of staff. Neither the food was good today, these guys were happy to serve some marriage party.. no non veg in the Indian main course.. service was poor..I have a vedio, but unfortunately zomato don't have option to upload. in short it was not a great experience at leela this time."
4,"Overall quite nice . Went for our anniversary lunch today , food was really good . Felt the prawn starter could have been better , we didn't feel like it was value for money , there were just 4 tiny prawn pieces for 1.4k. But other than that , everything else was bang on . Good service , awesome ambience , will surely revisit"
4,"Recently visited Citrus ..Had wonderful breakfast, awesome variety but There is scope for improvement in bakery side, no butter, no jams or no specific counter for bread griller, when asked for butter they served tiny portion which was not sufficient for dry toast..Now for lunch..Appetizers!!! tiniest portion not sufficient for one person..It needs lot of improvement. Main course- Good quantity, appetizing,but serving them took more than 45 mins..Which was mood spoiler..Lastly we celebrated parents wedding anniversary- they could not decorate the room, nor could get the cake better nor sending beautiful bouquet on their spl occassion..the cake tasted like raw marshmellow .It was yuck. We had lot of expectations from your side but guys failed to deliver. Last but not the least..They are following good precautions, tables are getting sanitized after every customer.all are wearing mask with shield."
5,"We have been dying to go for a brunch with friends and after a not so good experience with Alba at the JW Marriott last time we were apprehensive to try out any other place in the city. Asked around and got a couple of recommendations for Citrus at the Leela and decided to go for it. And I am so happy we chose this place. Everything was spot on. Everything that we picked from the counter was immaculate. The grills, pizza, salads, cold cuts, you name it and they nailed it. The only small disappointment would be the laddo (post diwali cravings) and the kaju katli which was a bit too sweet. But hey that would be me nitpicking. But to everyone who is undecided on a brunch place , what sets Citrus apart was the service. Hands down the best staff and service we have come across in any restaurant in Bangalore . We had kids with us and both of them ended up throwing up after a heavy lunch and running around. You should see the empathy and compassion the staff had with the kids and the parents alike in such a situation. If it's brunch it has to be at the Citrus. Life long fan now "
5,"Sunday brunch in the new normal. Menu is shared on phone, tables are distanced, cutlery placed in pouches on table. Love the outdoor seating. There was live music, but honestly the chirping of birds & soothing water music in natural setting could be good too. Appetizers, main course served on table pre plated. For desserts there was a counter. Dessert options & taste could be better. Polite staff. The north Indian appetizers & pizza was good in taste. Overall, good to be brunching back!"
5,"We went for a lunch with my wife on Friday and it's absolutely delighted after soo long time. The restaurant was crowded on Friday lunch and it's good to see soo many people out there like us. It was really stress free lunch . The place is really well manage and maintaining precautions and they offering sanitized cutlery and napkin in a pouch, touch free menu,which is really appreciate. Specially mention \"
1,"On 27th August 2020, I had visited for lunch with family and I had the most horrible experience with the orders we placed. There was no apology or any kind of help offered. We do not eat chicken, yet were served chicken instead of the fish we ordered. Half the orders we called out were not attended and we decided to leave half way through lunch. The food was not taken back ans fixed even after letting the crew know about the taste. We paid the bill and left since no one showed any interest in solving our issue. A 5 star hotel did a worst service than even a normal restaurants inside a mall."
2,"Never have I thought I would say this but I will not be ordering non veg at Citrus ever . We were there for Onam Sadhya and thoroughly enjoyed the meal except the dessert part . One thing I always look forward to when having South Indian meal is the dessert part where kheer is served. But unfortunately the ada payasam served was milky sweet ( the texture of the ada was perfect though) and the sarkkarai pradhaman was sweet to the core. Even the banana that was served along couldn't tone down the sweetness. First time in my life I had to say no to the kheer. I'm disappointed. Also we have ordered Andra chilli chicken with mild heat . The result was a kinda watery semi gravy base with the chicken which was not cooked through and I can swear it's not fresh meat . Clearly the meat couldn't hide behind the mild spices . This is something we didn't expect from Leela's. Again, first time I sent a dish back into the kitchen. Few weeks back I was at a different restaurant and has told them to prepare for me off the menu dish with broccoli. But they told me that the broccoli they have is not fresh. So I opted for mushrooms which turned out to be really good. At Citrus they could have just told us that they were expecting more of Sadhya order and it's not possible to serve chicken as we expected instead of serving something that was clearly not edible. As for service , it was impeccable and we were well taken care . Though it was rush hour , we didn't have to wait much for anything. Even the assistance I got through phone from Ms Kabita in tha last few days deserves a thumbs up."
5,One of my favourite place for brunch. I had been to citrus quite a lot of times. I totally love the ambiance and the brunch spread. I had white wine which was amazing. The food spread was was very tempting.The brunch is lil expensive but being in Leela palace it was worth it. 
5,"Went to Citrus for Sunday brunch and Oh boy! We were amazed by the ambience, crowd, live music and the buffet spread. Despite being a hardcore non vegetarian I couldnÇÑt refrain myself from trying foods with green dots, every thing on the table was delectable. Citrus spoils their guests with too many main course and dessert options and one will certainly be in a dilemma to choose the best ones from them. Liked everything on the menu but mango mousse was lip smacking!"
1,The price you pay its not valuable even for single star.very bad food quality
4,"Planning for weekends? Just go to to citrus restaurant Leela palace. it is a great place with good ambience and live music!!! The staff is also excellent.They serve delicious and varieties of starters, soft drinks, salads, desserts, breads and main menu is also very good.Deserts have huge options. They have separate desert section and play area for kids and definitely kids will love this place."
5,This luxurious restaurant in The Leela Palace just amazing. Great place with beautiful asthetic and some good food. Everything is clean and hygenic. The food presentation stole my heart. Every plate has unique decoration. Service is good and price is high as its a five star Hotel but sure you gonna remember the day for life time.
5,The ambience is real good.ù§Øè
4,"As a final treat towards the end of my visit to Bangalore, my host had booked Saturday brunch at the Leela, having been assured that both wine and beer were included. On our arrival we discovered it was actually only beer, which was a serious disappointment as half of the group did not drink beer and were only there because of the assurance that wine was on offer. The staff at Leela were quick to respond to this problem and we proceeded to have an absolutely delicious meal with both wine and beer flowing, and tremendous service from Kartik who went out of his way to fulfil every desire. Huge tribute to this hotel for coming to the rescue and for giving us a day we shall never forget."
4,hi
5,During our stay here we opt for breakfast and buffet dinner..the name is enough ...I really the this place .. ambience and service is too good ..the place is really like a palace ..it's a beautiful place ..food was tasty though .. overall good experience during our stay ..like to visit again
3,Came here for dinner buffet. Items were limited and left with no choices. Service is average. Only good thing to cherish was the ambience.
4,"Came here for an early lunch - opted for a la carte. Food taste, presentation was really good. Tried the crab cake, murg kabab, fish and chips (it does not come with chips which is weird), nasi goreng.The worst thing is - portion size. It is like very less. Crab cake comes with 1 medium sized piece, kabab has 3 small pieces, nasi goreng is pretty less. Also the time taken for the food to be prepared was a lot given the restaurant was pretty much empty when we got there."
5,"Citrus is the coffee shop and free breakfast restaurant at the Leela , Bangalore.Let me start of by saying that I think this restaurant and hotel has the best and most affordable breakfast spread in Bangalore if not India.Their menu in terms of buffet is mind blowing.They have everything or everything ! I had breakfast and Lunch there in very short spans , the pics are of the lunch , so letÇÑs talk about that. They have a lovely spread of Indian ( South and North ) lovely choices every single time.Pan Asian Choices with lovely choices of Noodles and Rice along with tofu , chicken and beef choices.The European choices are even better.German Pasta , potatoÇÑs Daphene and what not.Unfortunately I donÇÑt think itÇÑs possible for me to cover everything on the menu.As a matter of trust, I would recommend this place again and again."
5,"Hello my lovely foodies..so what's plan...do you planning any 5 star dinning experience in Bangalore..then just head to Citrus - The Leela palace..an awesome experience with great yummy finger licking food..super fine dinning experience with food menu from - North Indian, Italian, asian , continental and meditarranean dishes too choose from...great friendly and well behaved staff...awesome ambience...good food portion with great taste...we tried kabab platter (non veg) which include mutton seekh kabab, fish kebab, prawns, and chicken Tikka each food item was great on taste and very well cooked, also there pasta are great as well...do try there pulled chicken conchiglie pasta ...you will love it...deserts as well superb in taste tried chocolate (which is chocolate fudge cake with caramel , nougat and dark rum flavour icecream) ...liked there fast service and overall a great dinning experience.They do have several other restaurants too in hotel for different cuisine...a good piece of advice. Prior reservation is highly recommended...so go foodies and have a great experience and superb food...do follow me on Google Local guide, Instagram, Zomato, TripAdvisor #ankurthefoodie to know more about great food experience destinations."
1,We had been to this place for our anniversary. The service is not even comparable to what you might expect to receive at a local restaurant. It was that pathetic.We were greeted on our arrival and shown a seat. Post that we were on our own except for when the order was taken and served. The complimentary cake that came with the booking was not offered to us and we left on our own and waited for more than 10mins with our 2mt old baby for our car to be brought to us from valet parking. The worst experience at a 5star restaurant.
5,"We had a chance to stay at the Leela Palace for a couple of days and got a chance to have their massive spread of breakfast which was complimentary.You go insane when you see the number of items that are being offered here for a breakfast. They had most of the cuisines covered in their breakfast menu and what I liked about this place was the fact that they have focused on the small things that matter when you have a meal at a restaurant. The service and hospitality was undoubtedly awesome and most of the stuff on the menu actually tasted good. There was a separate counter for Bakery, Eggs, Salad bar, Juice bar and fruit bar.I thoroughly enjoyed their complimentary breakfast. It is definitely very expensive if you decide to buy the breakfast separately however it is worth a try once in a while when you feel like getting pampered.I would definitely recommend this place for a breakfast."
3,"Sunday brunch is totally overrated at the Leela. They did not have anything special (when compared to the other hotels). Their idea of a play area is one bouncy castle. Absolutely nothing that toddlers care about. They did not have salmon on the menu. I had to ask for it. Nothing exceptional. Totally not work the price I am afraid. To be fair, the menu is reasonably vast but not in comparison to its peers - Conrad, Ritz, Renaissance, Taj Westend etc."
